endpoint,summary,description letter count,current description,new description,new description size,questions,,,
GET /v1/teams/{teamId}/users/{userId},Retrieve User Membership in a Team,42,Returns the membership details for a user in a team.,,,,,,
POST /v1/connections/{connectionId}/connect-card,Create a Connect Card,42,Generates the Connect Card URI for the connection,,,,,,
DELETE /v1/private-links/{privateLinkId},Delete a Private Link,42,Deletes a private link from your Fivetran account.,,,,,,
DELETE /v1/destinations/{destinationId},Delete a Destination,42,Deletes a destination from your Fivetran account.,,,,,,
GET /v1/teams/{teamId}/groups,List All Group Memberships,41,Returns all groups in which a team has membership.,,,,,,
GET /v1/teams/{teamId}/connections,List All Connection Memberships,41,Returns all connections a team has membership in.,,,,,,
POST /v1/hybrid-deployment-agents/{agentId}/reset-credentials,Reset Agent Credentials,41,Reset credentials for a Hybrid Deployment Agent.,,,,,,
DELETE /v1/connections/{connectionId},Delete a Connection,41,Deletes a connection from your Fivetran account.,,,,,,
POST /v1/hvr/register-hub,Register Hub,40,Register a new hub within your Fivetran account.,,,,,,
DELETE /v1/system-keys/{keyId},Delete a System Key,40,Deletes a system key from your Fivetran account.,,,,,,
POST /v1/hybrid-deployment-agents,Create a Hybrid Deployment Agent,40,Creates a new Hybrid Deployment Agent in a group.,,,,,,
GET /v1/teams/{teamId}/groups/{groupId},Retrieve Group Membership Details,39,Returns details of a team membership in a group.,,,,,,
GET /v1/users/{userId}/groups/{groupId},Retrieve Group Membership Details,38,Returns details of a user membership in group.,,,,,,
DELETE /v1/groups/{groupId},Delete a Group,36,Deletes a group from your Fivetran account.,,,,,,
POST /v1/teams,Create a Team,36,Creates a new team in your Fivetran account,,,,,,
GET /v1/hybrid-deployment-agents/{agentId},Returns Hybrid Deployment Agent Details,35,Returns Hybrid Deployment Agent Details.,,,,,,
